% parameter values,,,,,,,,,,,,,
frameNumber,ancestors,birthframe,box,descendants,divisions,mesh,length,area,polarity,signal0,spots,objects,cellId;
#25, ,1,22;1;70;66, , ,46.4879 49.3216 50.6949 51.7546 52.661 53.414 54.1157 54.7714 55.3792 55.9543 56.5239 57.1021 57.6479 58.2101 58.7389 59.2957 59.8779 60.5166 61.1711 61.8233 62.4895 63.1587 63.804 64.4264 65.0389 65.6498 66.2723 66.9055 67.5317 68.1336 68.6827 69.1682 69.5696 69.8401 69.8773 68.1877 68.1569 ;42.8093 44.0736 43.833 43.376 42.8131 42.1418 41.4334 40.6922 39.9178 39.1236 38.3316 37.5547 36.7651 35.998 35.2146 34.458 33.7234 33.0322 32.3483 31.6533 30.9591 30.2565 29.5249 28.7688 28.0036 27.2394 26.4894 25.7525 25.0111 24.2464 23.4289 22.5454 21.5739 20.4684 19.1301 16.128 16.0979 ;46.4879 44.8902 44.075 44.1094 44.382 44.6989 45.119 45.6237 46.1505 46.7129 47.2776 47.8184 48.4086 49.0297 49.6716 50.3234 50.976 51.6391 52.3074 52.9732 53.6536 54.3227 54.9846 55.6502 56.3322 57.0117 57.6923 58.3944 59.121 59.8843 60.7078 61.6008 62.5434 63.6816 65.0434 67.6758 68.1569 ; 42.8093 41.0178 39.2753 38.1119 37.1042 36.1203 35.2005 34.3325 33.4732 32.6308 31.7801 30.9007 30.0438 29.1976 28.3575 27.5184 26.6774 25.847 25.028 24.2176 23.4314 22.6471 21.8654 21.091 20.3315 19.5671 18.7994 18.0472 17.3157 16.6188 15.9819 15.4167 14.9068 14.5922 14.5015 15.6371 16.0979,34.9803,361.916,1, , , ,4
#25, ,1,24;143;73;57, , ,49.647 52.2508 53.4479 54.3856 55.1724 55.8535 56.4424 56.9778 57.4719 57.9257 58.3487 58.784 59.2791 59.7747 60.2403 60.7159 61.227 61.7725 62.2991 62.8327 63.3883 63.9518 64.5326 65.1057 65.674 66.2419 66.8106 67.3961 67.9838 68.5771 69.1919 69.8205 70.4486 71.0788 71.7156 72.3496 72.9977 73.6529 74.2442 73.9963 ;196.07 195.886 195.208 194.478 193.738 193.003 192.274 191.558 190.851 190.147 189.442 188.749 188.091 187.433 186.753 186.07 185.402 184.747 184.066 183.38 182.705 182.035 181.384 180.736 180.097 179.473 178.867 178.294 177.734 177.185 176.662 176.147 175.606 175.026 174.394 173.672 172.887 172.027 170.953 167.942 ;49.647 47.6216 46.6771 46.2605 46.0699 46.038 46.1453 46.3856 46.6646 47.0191 47.4671 47.9525 48.4721 49.0418 49.6384 50.2653 50.9511 51.6693 52.3983 53.1432 53.9063 54.6703 55.437 56.2335 57.0532 57.9056 58.8023 59.7393 60.7183 61.7225 62.7392 63.7855 64.8393 65.9464 67.1375 68.3327 69.5323 70.78 72.0569 73.9963 ; 196.07 194.563 193.254 192.071 190.916 189.771 188.635 187.516 186.388 185.271 184.183 183.106 182.044 181.012 180 179.014 178.076 177.175 176.295 175.439 174.606 173.776 172.946 172.135 171.335 170.552 169.802 169.084 168.411 167.768 167.148 166.582 166.05 165.646 165.465 165.384 165.413 165.641 166.012 167.942,38.8389,415.816,1, , , ,5
#25, ,1,65;81;77;84, , ,87.8208 89.4798 90.7712 91.9191 93.003 94.0698 95.113 96.1477 97.1824 98.2107 99.2237 100.278 101.314 102.375 103.406 104.394 105.333 106.243 107.123 107.956 108.751 109.541 110.319 111.056 111.753 112.404 113.029 113.603 114.194 114.696 115.194 115.672 116.141 116.558 117.002 117.375 117.763 118.109 118.358 118.599 118.843 119.018 119.076 119.024 118.876 118.622 118.25 117.535 116.512 114.139 ;139.717 141.621 142.056 142.174 142.143 142.056 141.886 141.658 141.382 141.041 140.616 140.214 139.721 139.21 138.6 137.889 137.091 136.251 135.381 134.47 133.539 132.618 131.7 130.758 129.798 128.817 127.831 126.826 125.841 124.818 123.804 122.789 121.775 120.742 119.72 118.666 117.609 116.526 115.402 114.268 113.13 111.972 110.798 109.625 108.467 107.334 106.23 105.144 104.078 103.027 ;87.8208 87.39 87.9442 88.6302 89.3775 90.1534 90.9444 91.7343 92.5211 93.2974 94.0536 94.7944 95.5151 96.2018 96.8501 97.5006 98.1289 98.7282 99.2945 99.8249 100.347 100.834 101.3 101.756 102.202 102.636 103.044 103.452 103.837 104.215 104.564 104.897 105.236 105.546 105.835 106.185 106.542 106.86 107.19 107.506 107.804 108.088 108.366 108.654 108.953 109.362 109.866 110.531 111.394 114.139 ; 139.717 136.983 135.773 134.851 134.071 133.372 132.735 132.135 131.577 131.051 130.542 130.063 129.608 129.151 128.684 128.26 127.826 127.364 126.863 126.319 125.755 125.146 124.507 123.848 123.168 122.467 121.738 120.996 120.23 119.45 118.645 117.826 117.004 116.169 115.327 114.516 113.717 112.915 112.129 111.348 110.568 109.785 108.994 108.19 107.363 106.516 105.641 104.74 103.818 103.027,48.6309,513.938,1, , , ,6
#25, ,1,70;42;78;83, , ,98.5468 100.611 102.046 102.948 103.501 103.959 104.326 104.606 104.842 105.09 105.288 105.463 105.633 105.834 106.069 106.327 106.596 106.878 107.179 107.487 107.839 108.219 108.596 108.994 109.423 109.892 110.401 110.935 111.479 112.064 112.665 113.285 113.903 114.527 115.163 115.82 116.475 117.141 117.809 118.49 119.196 119.92 120.636 121.364 122.101 122.839 123.572 124.313 124.971 125.073 ;103.094 102.572 101.636 100.674 99.701 98.7385 97.7951 96.8762 95.9862 95.129 94.2949 93.4818 92.6883 91.9191 91.1737 90.447 89.7324 89.0281 88.3355 87.6491 86.9855 86.3367 85.6797 85.0242 84.3735 83.7354 83.1128 82.4973 81.8797 81.2932 80.7214 80.1699 79.6201 79.0831 78.5677 78.0866 77.608 77.1413 76.6701 76.206 75.7681 75.3392 74.8531 74.3383 73.7683 73.1178 72.3557 71.5339 70.3923 67.5854 ;98.5468 96.8292 95.7179 94.8219 94.2312 93.7596 93.3788 93.1086 92.9765 92.9736 93.0609 93.1976 93.3605 93.5836 93.8143 94.22 94.6357 95.0539 95.5343 96.0121 96.5581 97.1769 97.8798 98.6282 99.4086 100.202 101.006 101.807 102.615 103.45 104.304 105.161 106.047 106.965 107.9 108.863 109.888 110.93 112.001 113.061 114.133 115.218 116.328 117.471 118.628 119.781 120.934 122.133 123.416 125.073 ; 103.094 102.395 101.344 100.304 99.2728 98.2323 97.1722 96.0872 94.978 93.8489 92.7038 91.5438 90.3684 89.1867 87.9908 86.8315 85.6736 84.5138 83.3743 82.2288 81.1102 80.0293 79.0041 78.0217 77.0789 76.165 75.277 74.4016 73.5437 72.7168 71.9148 71.1161 70.3465 69.6091 68.8878 68.1964 67.5932 67.0243 66.5165 66.0064 65.537 65.12 64.7954 64.6083 64.5401 64.552 64.6587 64.9901 65.6505 67.5854,48.5961,535.573,1, , , ,7
#25, ,1,82;116;60;84, , ,112.712 110.685 109.515 108.627 107.902 107.213 106.65 106.211 105.857 105.56 105.271 105.002 104.806 104.686 104.585 104.492 104.442 104.427 104.444 104.496 104.576 104.671 104.792 104.971 105.241 105.56 105.879 106.211 106.544 106.868 107.194 107.508 107.832 108.218 108.654 109.146 109.716 110.472 111.366 112.397 114.595 114.838 ;138.262 138.607 139.439 140.309 141.201 142.1 143.026 143.987 144.977 145.994 147.03 148.088 149.171 150.275 151.389 152.512 153.644 154.783 155.928 157.08 158.238 159.402 160.569 161.729 162.865 163.974 165.056 166.104 167.118 168.099 169.044 169.96 170.845 171.696 172.526 173.346 174.164 174.975 175.797 176.634 177.341 177.357 ;112.712 114.638 115.661 116.283 116.705 116.981 117.127 117.2 117.257 117.286 117.284 117.279 117.272 117.275 117.301 117.336 117.361 117.374 117.398 117.418 117.429 117.454 117.518 117.615 117.725 117.866 118.041 118.236 118.447 118.69 118.959 119.192 119.354 119.458 119.5 119.427 119.242 118.91 118.224 117.096 115.448 114.838 ; 138.262 139.198 140.364 141.474 142.559 143.619 144.651 145.658 146.646 147.611 148.554 149.479 150.386 151.28 152.165 153.039 153.905 154.762 155.611 156.452 157.286 158.115 158.937 159.757 160.584 161.424 162.282 163.164 164.076 165.015 165.981 166.99 168.043 169.13 170.24 171.373 172.514 173.656 174.818 176.004 177.23 177.357,39.8425,433.142,1, , , ,8
#25, ,1,121;30;60;82, , ,146.772 149.606 150.775 151.602 152.348 153.025 153.411 153.803 154.147 154.431 154.681 154.956 155.329 155.609 155.923 156.381 156.812 157.352 157.843 158.205 158.446 158.607 158.731 158.758 158.729 158.675 158.566 158.403 158.221 157.993 157.666 157.247 156.764 156.094 155.274 154.327 153.041 150.816 150.793 ;88.4391 88.4331 87.7598 86.9756 86.1593 85.3109 84.3628 83.4116 82.4448 81.4617 80.4716 79.4916 78.54 77.5584 76.5786 75.6225 74.6352 73.6429 72.6001 71.4927 70.3347 69.147 67.9465 66.737 65.5318 64.3374 63.1571 61.9959 60.8552 59.7396 58.6596 57.6205 56.6213 55.68 54.786 53.9273 53.129 52.4829 52.4802 ;146.772 144.555 143.797 143.617 143.602 143.656 143.766 143.911 144.109 144.334 144.557 144.765 144.939 145.111 145.307 145.464 145.587 145.667 145.71 145.764 145.825 145.872 145.906 145.948 145.985 146.043 146.075 146.099 146.127 146.162 146.201 146.236 146.3 146.543 146.873 147.541 148.543 150.736 150.793 ; 88.4391 86.8222 85.5367 84.4364 83.3938 82.3804 81.3919 80.4183 79.4604 78.5087 77.5522 76.5881 75.6137 74.6427 73.6872 72.7376 71.8042 70.8918 70.0072 69.1608 68.3446 67.547 66.7596 65.9763 65.1886 64.3907 63.5783 62.7487 61.8983 61.0244 60.1248 59.1979 58.2386 57.224 56.1726 55.0513 53.8703 52.4961 52.4802,36.883,382.784,1, , , ,9
#25, ,1,135;51;59;86, , ,160.826 159.858 158.978 158.306 157.769 157.462 157.379 157.392 157.432 157.468 157.49 157.509 157.569 157.663 157.769 157.867 157.952 158.035 158.112 158.187 158.22 158.24 158.237 158.216 158.202 158.199 158.185 158.115 158.027 157.99 157.945 157.904 157.872 157.832 157.814 157.847 157.933 158.09 158.349 158.677 159.195 160.151 162.743 ;73.3743 74.1011 75.3514 76.5525 77.725 78.8437 79.9039 80.9301 81.9345 82.9214 83.8924 84.8463 85.7753 86.6853 87.5833 88.4756 89.3652 90.2513 91.1352 92.0172 92.9013 93.7854 94.6699 95.5537 96.4362 97.3184 98.2006 99.0819 99.9643 100.855 101.752 102.659 103.581 104.517 105.474 106.455 107.462 108.495 109.554 110.628 111.726 112.877 114.185 ;160.826 162.126 163.414 164.47 165.34 166.114 166.783 167.38 167.919 168.408 168.873 169.292 169.581 169.906 170.168 170.338 170.53 170.702 170.859 170.99 171.072 171.142 171.241 171.301 171.317 171.334 171.312 171.263 171.204 171.124 170.981 170.796 170.555 170.284 170.016 169.623 169.187 168.64 167.994 167.245 166.371 165.354 162.743 ; 73.3743 73.5345 74.2418 75.0045 75.8093 76.6343 77.4876 78.3682 79.2792 80.222 81.1901 82.1874 83.2286 84.2731 85.3403 86.4302 87.52 88.6161 89.7169 90.8234 91.9356 93.0486 94.1604 95.275 96.3913 97.5082 98.6252 99.7404 100.852 101.959 103.054 104.134 105.194 106.234 107.255 108.239 109.197 110.121 111.018 111.893 112.752 113.598 114.185,41.4018,455.349,1, , , ,10
#25, ,1,155;10;77;59, , ,177.779 178.547 180.094 181.306 182.442 183.545 184.588 185.577 186.517 187.411 188.268 189.095 189.891 190.654 191.388 192.105 192.811 193.51 194.207 194.909 195.62 196.342 197.078 197.839 198.626 199.439 200.285 201.175 202.117 203.119 204.184 205.346 206.66 208.686 ;43.3256 44.652 45.9965 46.4081 46.6247 46.7909 46.8539 46.8473 46.7892 46.6984 46.6002 46.5245 46.4701 46.4072 46.3313 46.2698 46.2321 46.2158 46.1888 46.1507 46.1242 46.1329 46.1765 46.2375 46.3257 46.462 46.6278 46.7903 46.9285 47.008 46.999 46.7893 46.2071 43.7926 ;177.779 177.549 177.976 178.609 179.331 180.116 180.945 181.834 182.787 183.798 184.859 185.966 187.114 188.31 189.552 190.819 192.103 193.392 194.679 195.961 197.23 198.473 199.692 200.868 201.986 203.059 204.063 205.007 205.889 206.698 207.452 208.146 208.807 208.686 ; 43.3256 41.8792 40.1203 38.9376 37.9829 37.157 36.3899 35.7067 35.1141 34.5979 34.1294 33.7 33.3053 32.9825 32.7865 32.6664 32.6328 32.6833 32.7654 32.8983 33.1143 33.4348 33.7827 34.2084 34.7261 35.2561 35.8597 36.5006 37.1895 37.9673 38.8134 39.7663 40.795 43.7926,32.2497,356.429,1, , , ,11
#25, ,1,174;106;82;61, , ,196.796 197.733 198.724 199.733 200.754 201.78 202.805 203.822 204.826 205.817 206.792 207.749 208.688 209.609 210.514 211.405 212.285 213.155 214.017 214.872 215.722 216.566 217.401 218.231 219.059 219.895 220.731 221.552 222.362 223.173 224.002 224.863 225.739 226.651 227.613 228.638 229.772 231.044 233.158 ;134.718 137.19 138.532 139.319 139.775 140.168 140.431 140.614 140.755 140.872 141.017 141.144 141.235 141.303 141.358 141.403 141.444 141.488 141.527 141.575 141.625 141.697 141.801 141.925 142.047 142.145 142.255 142.423 142.641 142.885 143.127 143.346 143.589 143.816 144.005 144.133 144.114 143.886 142.168 ;196.796 197.778 198.781 199.771 200.749 201.722 202.696 203.678 204.673 205.683 206.709 207.753 208.816 209.897 210.991 212.098 213.214 214.335 215.46 216.589 217.712 218.827 219.95 221.058 222.149 223.255 224.336 225.398 226.441 227.461 228.439 229.371 230.256 231.075 231.815 232.494 233.087 233.496 233.158 ; 134.718 132.606 131.49 130.615 130.004 129.554 129.174 128.866 128.662 128.511 128.342 128.186 128.073 128.051 128.104 128.16 128.262 128.41 128.588 128.789 129.061 129.385 129.67 130.029 130.45 130.812 131.262 131.758 132.285 132.838 133.448 134.108 134.808 135.58 136.438 137.349 138.368 139.672 142.168,37.9325,405.257,1, , , ,12
#25, ,1,195;19;65;82, , ,217.489 218.607 219.844 220.976 222.07 223.161 224.243 225.327 226.425 227.531 228.642 229.75 230.837 231.918 232.988 234.026 235.089 236.077 237.048 237.99 238.896 239.787 240.675 241.566 242.448 243.297 244.112 244.915 245.709 246.481 247.207 247.868 248.507 249.083 249.58 250.043 250.421 250.746 251.049 251.279 251.432 251.556 251.678 251.747 251.76 251.714 251.594 251.384 250.948 249.863 247.553 ;75.0113 77.1323 77.9467 78.3486 78.564 78.7011 78.72 78.6508 78.5315 78.3358 78.0679 77.7207 77.2774 76.7898 76.2639 75.6686 75.1156 74.4342 73.7348 73.0036 72.2381 71.4638 70.6925 69.9237 69.1366 68.3046 67.4276 66.5282 65.6063 64.6519 63.6501 62.5981 61.5294 60.427 59.2931 58.1561 57.0015 55.8484 54.7109 53.5761 52.4467 51.336 50.2479 49.1691 48.0978 47.0313 45.9649 44.8935 43.7932 42.5951 41.2297 ;217.489 217.342 218.036 218.873 219.729 220.563 221.419 222.271 223.109 223.923 224.706 225.465 226.211 226.944 227.662 228.362 229.055 229.751 230.429 231.094 231.737 232.383 232.996 233.601 234.187 234.734 235.257 235.751 236.23 236.662 237.052 237.415 237.747 238.061 238.366 238.653 238.942 239.225 239.472 239.718 240.002 240.323 240.602 240.897 241.254 241.652 242.137 242.772 243.618 244.689 247.553 ; 75.0113 72.2381 70.9352 70.187 69.547 68.8857 68.3879 67.9672 67.5951 67.2383 66.8699 66.5043 66.1536 65.8048 65.4413 65.0533 64.6544 64.2578 63.8252 63.3614 62.8583 62.3511 61.7988 61.2404 60.6676 60.0666 59.4584 58.8399 58.224 57.5875 56.9355 56.2761 55.6037 54.9217 54.2291 53.5172 52.7891 52.0385 51.2529 50.4435 49.6191 48.7781 47.9041 47.0137 46.1176 45.2144 44.3145 43.4309 42.5739 41.7457 41.2297,49.5419,541.56,1, , , ,13
#25, ,1,197;69;59;79, , ,228.619 227.672 225.881 224.809 223.946 223.2 222.591 222.09 221.646 221.268 220.892 220.598 220.278 219.986 219.773 219.602 219.478 219.392 219.346 219.367 219.441 219.551 219.709 219.843 220.073 220.435 220.808 221.228 221.749 222.33 222.942 223.642 224.434 225.387 226.482 227.826 230.097 ;90.9115 90.9014 91.5825 92.3931 93.2373 94.1033 95.0021 95.9343 96.8941 97.8848 98.8958 99.9399 101 102.086 103.203 104.343 105.503 106.676 107.86 109.05 110.242 111.433 112.62 113.81 114.985 116.126 117.246 118.33 119.356 120.326 121.248 122.107 122.912 123.652 124.346 124.973 125.298 ;228.619 229.461 231.182 232.038 232.456 232.701 232.843 232.899 232.918 232.926 232.951 232.999 233.008 232.981 232.961 232.976 233.022 233.071 233.104 233.151 233.213 233.269 233.312 233.362 233.413 233.46 233.522 233.605 233.712 233.835 233.945 233.965 233.87 233.613 233.063 231.944 230.097 ; 90.9115 91.2357 92.574 93.7563 94.8625 95.9367 96.9846 98.0037 98.9998 99.9758 100.935 101.878 102.794 103.683 104.552 105.405 106.243 107.067 107.879 108.683 109.481 110.276 111.072 111.869 112.672 113.486 114.317 115.168 116.044 116.95 117.897 118.905 119.975 121.111 122.34 123.732 125.298,35.1541,392.547,1, , , ,14
#26, ,1,1;120;56;80, , ,17.607 18.7472 19.8049 20.5355 20.9517 21.2135 21.3 21.35 21.374 21.3595 21.3324 21.2676 21.2214 21.1607 21.0854 21.0091 20.9288 20.8447 20.7905 20.7754 20.8069 20.9057 21.0403 21.1603 21.2732 21.3976 21.5548 21.7598 22.0205 22.3042 22.5893 22.934 23.3188 23.7265 24.1517 24.5777 25.0314 25.4673 25.9253 26.3964 26.9432 27.4785 27.9974 28.4787 28.9708 29.4203 29.8993 30.3856 30.8973 31.4247 31.9664 32.5182 33.0565 33.5136 33.9494 34.3476 34.652 34.6649 33.273 33.2553 ;195.686 194.738 193.526 192.369 191.267 190.196 189.171 188.169 187.191 186.237 185.3 184.382 183.471 182.57 181.678 180.795 179.925 179.069 178.226 177.397 176.58 175.776 174.982 174.19 173.397 172.6 171.8 170.998 170.198 169.39 168.567 167.754 166.948 166.146 165.348 164.549 163.764 162.972 162.191 161.418 160.69 159.956 159.211 158.442 157.68 156.892 156.127 155.37 154.633 153.907 153.189 152.47 151.727 150.89 150.009 149.063 147.998 146.621 143.834 143.813 ;17.607 16.0046 14.9042 13.9511 13.0889 12.3171 11.6478 11.0737 10.738 10.406 10.1095 9.88033 9.72451 9.61729 9.5514 9.4427 9.34091 9.25675 9.23593 9.27301 9.3614 9.48169 9.62305 9.73645 9.92328 10.2661 10.6711 11.064 11.4778 11.8795 12.3159 12.7278 13.1251 13.5262 13.9266 14.372 14.7995 15.2851 15.7864 16.3066 16.8224 17.3787 17.9517 18.5848 19.2125 19.8366 20.5344 21.2589 21.9588 22.6994 23.4328 24.2153 25.0509 25.9191 26.8544 27.9015 29.1363 30.4717 32.2951 33.2553 ; 195.686 195.28 194.499 193.694 192.874 192.03 191.149 190.228 189.236 188.223 187.187 186.125 185.043 183.947 182.843 181.735 180.615 179.478 178.323 177.155 175.978 174.799 173.618 172.431 171.252 170.106 168.988 167.883 166.802 165.733 164.69 163.651 162.615 161.586 160.559 159.555 158.542 157.557 156.579 155.613 154.644 153.7 152.77 151.879 150.985 150.086 149.235 148.402 147.55 146.731 145.911 145.142 144.435 143.778 143.208 142.774 142.554 142.46 142.862 143.813,58.5251,608.32,1, , , ,1
#26, ,1,1;28;58;82, , ,22.7085 22.4132 20.5137 20.361 20.527 20.7853 21.0986 21.4687 21.8499 22.2396 22.5866 22.933 23.2763 23.5731 23.8656 24.1568 24.393 24.6106 24.8373 25.0552 25.2337 25.3796 25.4727 25.5283 25.5645 25.582 25.5709 25.5439 25.5198 25.501 25.4515 25.3949 25.3783 25.4325 25.5491 25.7208 26.0374 26.8122 28.1791 30.0784 ;51.7916 52.0729 54.4856 55.7765 56.8588 57.8674 58.8166 59.6986 60.5385 61.3363 62.1226 62.8781 63.6124 64.3531 65.0892 65.8276 66.5907 67.3663 68.1485 68.9434 69.756 70.5834 71.4263 72.2814 73.1471 74.0238 74.9123 75.812 76.7238 77.6491 78.5876 79.5424 80.5192 81.5213 82.5455 83.5854 84.6377 85.7059 86.7816 87.8602 ;22.7085 23.509 25.808 27.0035 28.0122 28.8921 29.6894 30.4203 31.1355 31.8673 32.4751 33.0765 33.5866 34.0255 34.3681 34.6507 34.938 35.2003 35.4044 35.5773 35.7173 35.8338 35.9341 36.0176 36.0648 36.0633 36.0634 36.0727 36.0567 36.002 35.9216 35.7761 35.55 35.2522 34.8536 34.4157 33.8703 33.1601 32.2781 30.0784 ; 51.7916 51.366 51.0684 51.4789 52.0137 52.6465 53.3567 54.1401 54.9689 55.8272 56.7941 57.7954 58.8659 59.9816 61.1386 62.3103 63.4701 64.6283 65.7921 66.9533 68.1117 69.2651 70.4122 71.5526 72.6863 73.8112 74.9243 76.0261 77.1161 78.1917 79.2505 80.2864 81.2949 82.2758 83.2304 84.1704 85.1008 86.0304 86.9676 87.8602,38.3353,368.994,1, , , ,2
#26, ,1,15;29;58;83, , ,39.7722 41.8127 43.1617 44.1711 45.0289 45.8181 46.5125 47.1257 47.647 48.1225 48.4805 48.8199 49.1459 49.4044 49.6363 49.8572 50.0694 50.2411 50.3825 50.5048 50.5915 50.6202 50.6379 50.6354 50.5815 50.4372 50.2715 50.0573 49.7614 49.4505 49.1511 48.8467 48.4585 47.9776 47.4411 46.9259 46.2134 45.0966 43.5402 41.1818 ;89.1223 89.2453 88.7728 88.1376 87.414 86.63 85.7689 84.8378 83.839 82.799 81.7048 80.5991 79.4874 78.3605 77.231 76.102 74.9719 73.8354 72.6937 71.5475 70.3962 69.2412 68.0841 66.9252 65.768 64.6211 63.4823 62.3597 61.2655 60.1924 59.1347 58.0946 57.0915 56.1298 55.2002 54.2798 53.427 52.6978 52.0982 51.7586 ;39.7722 38.0314 37.5019 37.3991 37.4711 37.5928 37.7677 37.9674 38.1639 38.3445 38.4946 38.6006 38.6953 38.8056 38.8904 38.9341 38.9821 39.0368 39.0398 39.0109 38.97 38.9268 38.8445 38.7327 38.6382 38.5836 38.4931 38.3437 38.1785 38.0392 37.8994 37.7441 37.6141 37.5585 37.5416 37.5058 37.6179 38.1842 39.3639 41.1818 ; 89.1223 87.5168 86.1843 85.0529 84.0188 83.0336 82.1034 81.2151 80.3536 79.5086 78.6694 77.827 76.9871 76.1518 75.3096 74.459 73.6088 72.7597 71.9073 71.0564 70.2092 69.3654 68.5253 67.6894 66.8538 66.0116 65.167 64.3219 63.4675 62.5922 61.6993 60.7927 59.863 58.897 57.9038 56.9011 55.845 54.6515 53.2796 51.7586,38.6774,387.103,1, , , ,3
#26, ,1,22;1;71;66, , ,46.7159 48.6751 50.4778 51.7303 52.6807 53.514 54.2847 55.0004 55.6485 56.2477 56.8164 57.3626 57.9094 58.4409 58.9932 59.5477 60.1206 60.7073 61.3373 62.0003 62.6616 63.3244 63.9866 64.5948 65.1947 65.8141 66.4412 67.0947 67.7451 68.3559 68.9248 69.4489 69.9115 70.2879 70.3511 68.4146 ;43.3623 44.3905 44.4638 44.1333 43.579 42.9367 42.2463 41.5147 40.736 39.9282 39.1093 38.2886 37.4842 36.6839 35.9115 35.1496 34.4065 33.6745 32.9743 32.2954 31.6073 30.9121 30.2097 29.4559 28.6938 27.9507 27.2166 26.5072 25.7931 25.0372 24.234 23.3788 22.455 21.4393 20.1153 16.8651 ;46.7159 45.3915 44.5861 44.5295 44.6531 44.9969 45.4416 45.9264 46.4456 46.9758 47.5242 48.0848 48.6574 49.2753 49.9077 50.567 51.2357 51.8966 52.563 53.2333 53.8904 54.5492 55.2296 55.9038 56.5718 57.2563 57.9524 58.6495 59.3749 60.153 60.9685 61.8302 62.8062 63.8954 65.1901 68.4146 ; 43.3623 42.0052 40.1855 38.9135 37.777 36.8032 35.9047 35.0363 34.1912 33.3484 32.5084 31.663 30.81 29.9741 29.1359 28.3088 27.4846 26.6541 25.8313 25.0186 24.2037 23.3988 22.6195 21.8391 21.0535 20.28 19.5143 18.7486 18.0109 17.3278 16.688 16.1018 15.6349 15.2865 15.1425 16.8651,34.3629,359.45,1, , , ,4
#26, ,1,24;143;73;57, , ,49.6659 50.7847 52.6718 53.7529 54.6387 55.3829 56.0143 56.5641 57.1207 57.612 58.0684 58.5128 58.9628 59.4236 59.9029 60.3772 60.8751 61.3884 61.9052 62.4215 62.9836 63.5261 64.0943 64.659 65.2251 65.8069 66.3755 66.942 67.5192 68.1171 68.7192 69.3519 69.9822 70.6007 71.2266 71.8521 72.4725 73.1084 73.7623 74.4121 74.0054 ;196.871 197.164 196.747 196.075 195.356 194.617 193.868 193.121 192.403 191.683 190.963 190.249 189.543 188.845 188.158 187.466 186.784 186.105 185.421 184.729 184.064 183.38 182.717 182.056 181.405 180.784 180.165 179.558 178.976 178.428 177.89 177.394 176.889 176.343 175.771 175.139 174.417 173.635 172.8 171.881 168.682 ;49.6659 49.5382 47.7839 46.8886 46.5326 46.3623 46.2916 46.3867 46.5903 46.8613 47.2431 47.7152 48.2159 48.7031 49.2609 49.8645 50.4983 51.1562 51.8234 52.5696 53.3201 54.0552 54.8027 55.5684 56.358 57.1697 58.0064 58.9198 59.8537 60.8361 61.8206 62.7992 63.8434 64.9127 66.0313 67.1966 68.3797 69.5869 70.8458 72.1411 74.0054 ; 196.871 196.768 195.196 193.891 192.734 191.603 190.465 189.347 188.235 187.122 186.035 184.978 183.929 182.869 181.845 180.851 179.881 178.934 178.001 177.135 176.283 175.425 174.577 173.742 172.919 172.105 171.301 170.565 169.843 169.174 168.507 167.831 167.259 166.748 166.361 166.125 166.013 166.054 166.313 166.742 168.682,39.328,415.201,1, , , ,5
#26, ,1,65;81;77;84, , ,88.1904 89.0766 90.5586 91.7608 92.8791 93.9582 95.0218 96.071 97.098 98.1104 99.1381 100.186 101.252 102.311 103.325 104.322 105.247 106.127 106.972 107.781 108.584 109.379 110.177 110.951 111.689 112.399 113.06 113.684 114.259 114.798 115.307 115.782 116.293 116.8 117.259 117.677 118.134 118.436 118.674 118.925 119.119 119.263 119.37 119.38 119.265 119.04 118.706 118.211 117.448 116.394 114.319 ;140.397 141.681 142.519 142.752 142.803 142.758 142.652 142.476 142.203 141.845 141.464 141.063 140.631 140.127 139.499 138.812 138.009 137.15 136.263 135.354 134.456 133.563 132.68 131.781 130.859 129.922 128.956 127.974 126.97 125.955 124.933 123.902 122.894 121.882 120.846 119.787 118.733 117.616 116.475 115.337 114.182 113.018 111.853 110.685 109.522 108.379 107.261 106.172 105.107 104.061 103.015 ;88.1904 87.8759 88.0514 88.666 89.3742 90.1297 90.9128 91.7018 92.5025 93.2815 94.0454 94.7801 95.4917 96.1842 96.8549 97.508 98.1494 98.7828 99.3825 99.9586 100.512 101.063 101.558 102.012 102.436 102.866 103.308 103.712 104.112 104.508 104.862 105.197 105.523 105.818 106.121 106.445 106.721 107.008 107.319 107.614 107.898 108.176 108.437 108.702 108.996 109.342 109.749 110.281 110.948 111.762 114.319 ; 140.397 139.052 137.026 135.952 135.081 134.323 133.65 133.03 132.484 131.949 131.442 130.942 130.462 130.007 129.564 129.128 128.694 128.253 127.765 127.239 126.678 126.102 125.464 124.787 124.083 123.376 122.671 121.934 121.187 120.429 119.641 118.838 118.027 117.205 116.391 115.592 114.785 113.991 113.212 112.432 111.65 110.865 110.068 109.259 108.434 107.585 106.708 105.803 104.871 103.917 103.015,49.2898,516.522,1, , , ,6
